AAA92657	AAA92657.VFG001445_gb_AAA92657_.Escherichia_coli
AAC38364+	AAC38364.VFG000710_gb_AAC38364_.Escherichia_coli_O127_H6_str._E2348_69	ler.VFG000832_gb_WP_001055728_.Escherichia_coli_O157_H7_str._EDL933
AAD32423	AAD32423.VFG002040_gb_AAD32423_.Bacillus_anthracis_str._Sterne
AAP42183	AAP42183.VFG000690_gb_AAP42183_.Haemophilus_influenzae_str._1007
AAP42184	AAP42184.VFG000691_gb_AAP42184_.Haemophilus_influenzae_str._1007
AAP42187	AAP42187.VFG000694_gb_AAP42187_.Haemophilus_influenzae_str._1007
ACA60977	ACA60977.VFG044024_gb_ACA60977_.Clostridium_septicum_str._NH2
ACICU_RS00395	ACICU_RS00395.VFG037852_gb_WP_001075965_.Acinetobacter_baumannii_ACICU
ACICU_RS00400	ACICU_RS00400.VFG037867_gb_WP_001165990_.Acinetobacter_baumannii_ACICU
ACICU_RS00405	ACICU_RS00405.VFG037882_gb_WP_000872593_.Acinetobacter_baumannii_ACICU
ACICU_RS00445	ACICU_RS00445.VFG038002_gb_WP_000172211_.Acinetobacter_baumannii_ACICU
ACICU_RS00450	ACICU_RS00450.VFG038017_gb_WP_001010045_.Acinetobacter_baumannii_ACICU
ACICU_RS00460	ACICU_RS00460.VFG038047_gb_WP_000994240_.Acinetobacter_baumannii_ACICU
ACICU_RS00465	ACICU_RS00465.VFG038062_gb_WP_000515955_.Acinetobacter_baumannii_ACICU
ACICU_RS00475	ACICU_RS00475.VFG038091_gb_WP_000826956_.Acinetobacter_baumannii_ACICU
ACICU_RS00485	ACICU_RS00485.VFG038119_gb_WP_000686134_.Acinetobacter_baumannii_ACICU
ACICU_RS00500	ACICU_RS00500.VFG038155_gb_WP_000209960_.Acinetobacter_baumannii_ACICU
ACICU_RS04565	ACICU_RS04565.VFG037470_gb_WP_001105554_.Acinetobacter_baumannii_ACICU
ACICU_RS04570	ACICU_RS04570.VFG037482_gb_WP_004748062_.Acinetobacter_baumannii_ACICU
ACICU_RS04575	ACICU_RS04575.VFG037490_gb_WP_001240499_.Acinetobacter_baumannii_ACICU
ACICU_RS04580	ACICU_RS04580.VFG037497_gb_WP_085947929_.Acinetobacter_baumannii_ACICU
ACICU_RS04585	ACICU_RS04585.VFG037505_gb_WP_002002089_.Acinetobacter_baumannii_ACICU
ACICU_RS04590	ACICU_RS04590.VFG037513_gb_WP_085947930_.Acinetobacter_baumannii_ACICU
ACICU_RS04595	ACICU_RS04595.VFG037521_gb_WP_000837764_.Acinetobacter_baumannii_ACICU
ACICU_RS04605	ACICU_RS04605.VFG037537_gb_WP_000359621_.Acinetobacter_baumannii_ACICU
ACICU_RS04610	ACICU_RS04610.VFG037547_gb_WP_000061137_.Acinetobacter_baumannii_ACICU
ACICU_RS16840	ACICU_RS16840.VFG050581_gb_WP_001046420.1_.Acinetobacter_baumannii_ACICU
AHA_RS09305	AHA_RS09305.VFG038405_gb_WP_011705727_.Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966
AHML_RS07540	AHML_RS07540.VFG038723_gb_WP_011705294_.Aeromonas_hydrophila_ML09_119
APH_RS0-	APH_RS00770.VFG045357_gb_WP_080502891_.Anaplasma_phagocytophilum_HZ	APH_RS05155.VFG045383_gb_WP_044108215_.Anaplasma_phagocytophilum_HZ
APH_RS00135_	APH_RS00135_.VFG045388_gb_WP_155237504_.Anaplasma_phagocytophilum_HZ
APH_RS00360_	APH_RS00360_.VFG045390_gb_WP_020848750_.Anaplasma_phagocytophilum_HZ
APH_RS00540_	APH_RS00540_.VFG045391_gb_WP_020848765_.Anaplasma_phagocytophilum_HZ
APH_RS00595_	APH_RS00595_.VFG045393_gb_WP_020848772_.Anaplasma_phagocytophilum_HZ
APH_RS00765	APH_RS00765.VFG045355_gb_WP_155237521_.Anaplasma_phagocytophilum_HZ
APH_RS02770	APH_RS02770.VFG045360_gb_WP_044104250_.Anaplasma_phagocytophilum_HZ
APH_RS02775	APH_RS02775.VFG045361_gb_WP_011450766_.Anaplasma_phagocytophilum_HZ
APH_RS02780	APH_RS02780.VFG045362_gb_WP_101631099_.Anaplasma_phagocytophilum_HZ
APH_RS03565_	APH_RS03565_.VFG045402_gb_WP_020848997_.Anaplasma_phagocytophilum_HZ
APH_RS03760_	APH_RS03760_.VFG045407_gb_WP_020849024_.Anaplasma_phagocytophilum_HZ
APH_RS03875_	APH_RS03875_.VFG045408_gb_WP_020849031_.Anaplasma_phagocytophilum_HZ
APH_RS03880_	APH_RS03880_.VFG045409_gb_WP_020849032_.Anaplasma_phagocytophilum_HZ
APH_RS04-	APH_RS04720.VFG045372_gb_WP_011451222_.Anaplasma_phagocytophilum_HZ	APH_RS04960.VFG045376_gb_WP_011451266_.Anaplasma_phagocytophilum_HZ
APH_RS04-_1	APH_RS04795_.VFG045432_gb_WP_155237519_.Anaplasma_phagocytophilum_HZ	APH_RS04925.VFG045375_gb_WP_044108210_.Anaplasma_phagocytophilum_HZ
APH_RS04215_	APH_RS04215_.VFG045411_gb_WP_020849062_.Anaplasma_phagocytophilum_HZ
APH_RS04275_	APH_RS04275_.VFG045414_gb_WP_020849070_.Anaplasma_phagocytophilum_HZ
APH_RS04305_	APH_RS04305_.VFG045418_gb_WP_020849075_.Anaplasma_phagocytophilum_HZ
APH_RS04435	APH_RS04435.VFG045365_gb_WP_011451169_.Anaplasma_phagocytophilum_HZ
APH_RS04610_	APH_RS04610_.VFG045425_gb_WP_080502910_.Anaplasma_phagocytophilum_HZ
APH_RS04625	APH_RS04625.VFG045368_gb_WP_044108165_.Anaplasma_phagocytophilum_HZ
APH_RS04690	APH_RS04690.VFG045369_gb_WP_011451214_.Anaplasma_phagocytophilum_HZ
APH_RS04695	APH_RS04695.VFG045370_gb_WP_080502912_.Anaplasma_phagocytophilum_HZ
APH_RS04725_	APH_RS04725_.VFG045428_gb_WP_080502914_.Anaplasma_phagocytophilum_HZ
APH_RS04765_	APH_RS04765_.VFG045431_gb_WP_080502916_.Anaplasma_phagocytophilum_HZ
APH_RS04800	APH_RS04800.VFG045373_gb_WP_044108207_.Anaplasma_phagocytophilum_HZ
APH_RS04890	APH_RS04890.VFG045374_gb_WP_011451253_.Anaplasma_phagocytophilum_HZ
APH_RS04995_	APH_RS04995_.VFG045437_gb_WP_080502919_.Anaplasma_phagocytophilum_HZ
APH_RS05000	APH_RS05000.VFG045377_gb_WP_155237524_.Anaplasma_phagocytophilum_HZ
APH_RS05015_	APH_RS05015_.VFG045438_gb_WP_155237404_.Anaplasma_phagocytophilum_HZ
APH_RS05020_	APH_RS05020_.VFG045439_gb_WP_080502920_.Anaplasma_phagocytophilum_HZ
APH_RS05050_	APH_RS05050_.VFG045440_gb_WP_080502921_.Anaplasma_phagocytophilum_HZ
APH_RS05055	APH_RS05055.VFG045378_gb_WP_011451280_.Anaplasma_phagocytophilum_HZ
APH_RS05065_	APH_RS05065_.VFG045441_gb_WP_080502922_.Anaplasma_phagocytophilum_HZ
APH_RS05075	APH_RS05075.VFG045379_gb_WP_044108213_.Anaplasma_phagocytophilum_HZ
APH_RS05145_	APH_RS05145_.VFG045381_gb_WP_080502923_.Anaplasma_phagocytophilum_HZ
APH_RS05210	APH_RS05210.VFG045384_gb_WP_011451309_.Anaplasma_phagocytophilum_HZ
APH_RS05320	APH_RS05320.VFG045385_gb_WP_155237525_.Anaplasma_phagocytophilum_HZ
APH_RS05455_	APH_RS05455_.VFG045452_gb_WP_020849172_.Anaplasma_phagocytophilum_HZ
APH_RS05460_	APH_RS05460_.VFG045453_gb_WP_080502927_.Anaplasma_phagocytophilum_HZ
APH_RS05495_	APH_RS05495_.VFG045454_gb_WP_080502929_.Anaplasma_phagocytophilum_HZ
APH_RS05515	APH_RS05515.VFG045386_gb_WP_011451361_.Anaplasma_phagocytophilum_HZ
APH_RS05540	APH_RS05540.VFG045469_gb_WP_011451366_.Anaplasma_phagocytophilum_HZ
APH_RS05670	APH_RS05670.VFG045387_gb_WP_011451394_.Anaplasma_phagocytophilum_HZ
APH_RS05705_	APH_RS05705_.VFG045462_gb_WP_020849198_.Anaplasma_phagocytophilum_HZ
APH_RS05735_	APH_RS05735_.VFG045463_gb_WP_080502933_.Anaplasma_phagocytophilum_HZ
APH_RS05870	APH_RS05870.VFG045403_gb_WP_020849018_.Anaplasma_phagocytophilum_HZ
APH_RS06240	APH_RS06240.VFG045395_gb_WP_020848796_.Anaplasma_phagocytophilum_HZ
APH_RS06355_	APH_RS06355_.VFG045400_gb_WP_020848897_.Anaplasma_phagocytophilum_HZ
APH_RS06575_	APH_RS06575_.VFG045413_gb_WP_133121395_.Anaplasma_phagocytophilum_HZ
APH_RS06730_	APH_RS06730_.VFG045396_gb_WP_020848801_.Anaplasma_phagocytophilum_HZ
APH_RS06750_	APH_RS06750_.VFG045424_gb_WP_020849091_.Anaplasma_phagocytophilum_HZ
APH_RS06755_	APH_RS06755_.VFG045426_gb_WP_020849102_.Anaplasma_phagocytophilum_HZ
AYT27_RS06815	AYT27_RS06815.VFG041370_gb_WP_011181137_.Bartonella_henselae_str._Houston_1
BAS_RS06430	BAS_RS06430.VFG016346_gb_WP_001035927_.Bacillus_anthracis_str._Sterne
BAS_RS10600	BAS_RS10600.VFG040867_gb_WP_001050360_.Bacillus_anthracis_str._Sterne
BPE005	BPE005.VFG051235_gb_WP_002965067.1_.Brucella_melitensis_bv._1_str._16M
BPE043	BPE043.VFG051244_gb_WP_004683766.1_.Brucella_melitensis_bv._1_str._16M
BPE123	BPE123.VFG051253_gb_WP_004681330.1_.Brucella_melitensis_bv._1_str._16M
BPE275	BPE275.VFG051262_gb_WP_002964379.1_.Brucella_melitensis_bv._1_str._16M
BPSL2786	BPSL2786.VFG002545_gb_WP_004194345_.Burkholderia_pseudomallei_K96243
BPS_RS26875	BPS_RS26875.VFG041119_gb_WP_004528788_.Burkholderia_pseudomallei_K96243
BPS_RS26880	BPS_RS26880.VFG041120_gb_WP_011205628_.Burkholderia_pseudomallei_K96243
BP_RS11150	BP_RS11150.VFG042072_gb_WP_010930809_.Bordetella_pertussis_Tohama_I
BP_RS11155	BP_RS11155.VFG042071_gb_WP_010930810_.Bordetella_pertussis_Tohama_I
BP_RS11160	BP_RS11160.VFG042069_gb_WP_010930811_.Bordetella_pertussis_Tohama_I
C2I	C2I.VFG043656_gb_WP_003377818_.Clostridium_botulinum_C_str._203U28
C2II	C2II.VFG044025_gb_WP_012669495_.Clostridium_botulinum_C_str._203U28
C3bot1	C3bot1.VFG002296_gb_CAA41768_.Clostridium_botulinum_D_str._1873
C3bot2	C3bot2.VFG051287_gb_WP_003366488.1_.Clostridium_botulinum_C_str._Eklund
C3lim	C3lim.VFG043666_gb_CAA60674_.Clostridium_limosum_str._2
CBUA0020	CBUA0020.VFG046214_gb_NP_819037_.Coxiella_burnetii_RSA_493
CBUD_RS05145	CBUD_RS05145.VFG041424_gb_WP_005768624_.Coxiella_burnetii_Dugway_5J108_111
